page,release_date,title,release_document_id
1,14 August 2026,Gross Domestic Product Second Quarter 2026,20706
1,14 August 2026,INTERNATIONAL INVESTMENT POSITION Q226,20701
1,14 August 2026,"Quarterly Balance of Payments, Second Quarter 2026",20717
1,13 August 2026,Construction Statistics Second Quarter 2026,20687
1,13 August 2026,"Employment Statistics, Q2 2026",20688
1,13 August 2026,MONTHLY RUBBER STATISTICS,20650
1,12 August 2026,PUBLICATION QSS Q2 2026,20618
1,12 August 2026,"PUBLICATION - VOLUME INDEX OF WHOLESALE & RETAIL TRADE, SECOND QUARTER 2026",20623
1,12 August 2026,QUARTERLY VOLUME INDEX OF SERVICES Q2 2026,20609
1,12 August 2026,"Publication Performance of Wholesale & Retail Trade, June 2026",20596
2,11 August 2026,"Labour Force Survey Report, Second Quarter 2026",20538
2,11 August 2026,"LABOUR FORCE STATISTICS, JUNE 2026",20586
2,11 August 2026,"Index of Industrial Production, Malaysia",20570
2,11 August 2026,"MONTHLY MANUFACTURING STATISTICS, JUNE 2026",20549
2,10 August 2026,Special Release 3 - For Mechanical and Electrical Works Malaysia,20521
2,10 August 2026,Special Release 2 - For Building and Structural Works,20514
2,10 August 2026,Special Release 1 - For Civil Engineering Works Peninsular Malaysia,20529
2,10 August 2026,Special Release 1 - For Civil Engineering Works Sabah and Sarawak,20533
2,10 August 2026,Special Release 2 - For Building and Structural Works Sabah and Sarawak,20525
2,6 August 2026,PUBLICATION SPPI Q2 2026,20500
3,5 August 2026,LSE Pahang,20471
3,5 August 2026,LSE Negeri Sembilan,20470
3,5 August 2026,LSE Perak,20473
3,5 August 2026,LSE WP Labuan,20480
3,5 August 2026,LSE Pulau Pinang,20472
3,5 August 2026,LSE Kedah 2025,20387
3,5 August 2026,LSE WPKL,20479
3,5 August 2026,LSE Johor 2025,20386
3,5 August 2026,LSE Melaka,20469
3,5 August 2026,LSE Sabah,20477
4,5 August 2026,LSE WP Labuan,20480
4,5 August 2026,LSE WPKL,20479
4,5 August 2026,LSE Sarawak,20478
4,5 August 2026,LSE Sabah,20477
4,5 August 2026,LSE Perlis,20474
4,5 August 2026,LSE Terengganu,20476
4,31 July 2026,"Current Population Estimates, Malaysia, 2026",20425
4,30 July 2026,"External Trade Statistics, Sarawak",20424
4,30 July 2026,"External Trade Statistics, Sabah",20428
4,30 July 2026,"Final External Trade Statistics, 2025 - Publication",20352
5,30 July 2026,"External Trade Statistics, Sabah",20428
5,29 July 2026,"Employee Wages Statistics (Formal Sector), First Quarter 2026",20383
5,29 July 2026,Gross Domestic Product Income Approach 2025,20363
5,28 July 2026,"Malaysia External Trade Indices, June 2026",20315
5,28 July 2026,GFCF 2025,20329
5,28 July 2026,"Producer Price Index - Local Production, June 2026",20347
5,27 July 2026,"Monthly Statistical Bulletin Malaysia, May 2026",20301
5,24 July 2026,"MALAYSIAN ECONOMIC INDICATORS LEADING, COINCIDENT & LAGGING INDEXES MAY 2026",20287
5,20 July 2026,"Malaysia External Trade Statistics, June 2026",20270
5,20 July 2026,"Malaysia External Trade Statistics, June 2026",20344
6,17 July 2026,Publication Advance Gross Domestic Product (GDP) Estimates Second Quarter 2026,20263
6,17 July 2026,"Consumer Price Index Malaysia, June 2026",20261
6,14 July 2026,PUBLICATION PPI ANNUAL 2025,20228
6,13 July 2026,MONTHLY RUBBER STATISTICS,20214
6,10 July 2026,"LABOUR FORCE STATISTICS, MAY 2026",20199
6,10 July 2026,"Publication Performance of Wholesale & Retail Trade, May 2026",20181
6,9 July 2026,Special Release 2 - For Building and Structural Works Sabah and Sarawak,20135
6,9 July 2026,Special Release 2 - For Building and Structural Works,20131
6,9 July 2026,Special Release 3 - For Mechanical and Electrical Works Malaysia,20139
6,9 July 2026,Special Release 1 - For Civil Engineering Works Sabah and Sarawak,20127
7,9 July 2026,"MONTHLY MANUFACTURING STATISTICS, MAY 2026",20157
7,9 July 2026,"Index of Industrial Production, Malaysia",20175
7,9 July 2026,Special Release 1 - For Civil Engineering Works Peninsular Malaysia,20123
7,7 July 2026,Atlas Banci 2020 Malaysia,20098
7,7 July 2026,Atlas Banci 2020 Malaysia,20100
7,7 July 2026,Atlas Banci 2020 Malaysia,20099
7,7 July 2026,Atlas Banci 2020 Malaysia,20096
7,7 July 2026,Bulletin of Holiday Homes Statistics: Economic Census 2026,20089
7,7 July 2026,Atlas Banci 2020 Malaysia,20102
7,7 July 2026,Atlas Banci 2020 Malaysia,20097
8,7 July 2026,Atlas Banci 2020 Malaysia,20102
8,7 July 2026,Atlas Banci 2020 Malaysia,20103
8,7 July 2026,Atlas Banci 2020 Malaysia,20104
8,7 July 2026,Atlas Banci 2020 Malaysia,20105
8,7 July 2026,Atlas Banci 2020 Malaysia,20106
8,7 July 2026,Atlas Banci 2020 Malaysia,20107
8,7 July 2026,Atlas Banci 2020 Malaysia,20108
8,7 July 2026,"Laporan Awalan Indeks Harga Kesihatan (IHK) Malaysia, 2025",20081
8,6 July 2026,"MYAGRISTATS 2024 DAERAH PENTADBIRAN KLUANG, JOHOR",20049
8,6 July 2026,Preliminary Report of The Malaysia Food Security Index,20036
9,6 July 2026,"MYAGRISTATS 2024 DAERAH PENTADBIRAN KLUANG, JOHOR",20049
9,6 July 2026,Preliminary Report of The Malaysia Food Security Index,20036
9,2 July 2026,Special  Release: Time Spent on Unpaid Domestic and Care Work in Malaysia 2025,19995
9,2 July 2026,Special Release: Household Food Waste in Malaysia 2025,19986
9,1 July 2026,GDP by State 2025,19979
9,30 June 2026,Usage of ICT and E-Commerce by Establishment 2025,19958
9,30 June 2026,Sport Satellite Account 2024,19929
9,29 June 2026,"Monthly Statistical Bulletin Malaysia, April 2026",19928
9,29 June 2026,"Producer Price Index - Local Production, May 2026",19933
9,26 June 2026,"Malaysia External Trade Indices, May 2026",19901
10,26 June 2026,LABOUR FORCE SURVEY 2025,19925
10,25 June 2026,Statistics of International Trade in Services 2025,19873
10,25 June 2026,"MALAYSIAN ECONOMIC INDICATORS LEADING, COINCIDENT & LAGGING INDEXES APRIL 2026",19877
10,24 June 2026,Publication FDI 2025,20150
10,24 June 2026,Penerbitan DIA 2025,19845
10,24 June 2026,BULLETIN OF DOMESTIC TOURISM SURVEY 2026,19838
10,19 June 2026,"Malaysia External Trade Statistics, May 2026 - Publication",19910
10,19 June 2026,"Consumer Price Index Malaysia, May 2026",19808
10,19 June 2026,"Malaysia External Trade Statistics, May 2026",19789
10,16 June 2026,DOMESTIC TOURISM SURVEY 2025,19783
11,12 June 2026,"Publication Performance of Wholesale & Retail Trade, April 2026",19740
11,12 June 2026,"Index of Industrial Production, Malaysia",19754
11,12 June 2026,"MONTHLY MANUFACTURING STATISTICS, APRIL 2026",19751
11,11 June 2026,"LABOUR FORCE STATISTICS, APRIL 2026",19732
11,11 June 2026,MONTHLY RUBBER STATISTICS,19713
11,10 June 2026,Special Release 1 - For Civil Engineering Works Peninsular Malaysia,19679
11,10 June 2026,Special Release 1 - For Civil Engineering Works Sabah and Sarawak,19683
11,10 June 2026,Special Release 2 - For Building and Structural Works,19687
11,10 June 2026,Special Release 2 - For Building and Structural Works Sabah and Sarawak,19691
11,10 June 2026,Special Release 3 - For Mechanical and Electrical Works Malaysia,19695
12,5 June 2026,"Publication Mining of Petroleum and Natural Gas Statistics, Q1 2026",19675
12,29 May 2026,"Monthly Statistical Bulletin Malaysia, March 2026",19634
12,26 May 2026,"Business Tendency Statistics, Second Quarter 2026",19651
12,26 May 2026,"Malaysia External Trade Indices, April 2026",19642
12,25 May 2026,"PRODUCER PRICE INDEX - LOCAL PRODUCTION, APRIL 2026",19599
12,25 May 2026,"MALAYSIAN ECONOMIC INDICATORS LEADING, COINCIDENT & LAGGING INDEXES MARCH 2026",19596
12,22 May 2026,"Labour Market Review (LMR), First Quarter 2026",19583
12,21 May 2026,"Socioeconomic Indicators by State, First Quarter 2026 - Wilayah Persekutuan",19514
12,21 May 2026,Labour Productivity First Quarter 2026,19572
12,21 May 2026,"Socioeconomic Indicators by State, First Quarter 2026 - Perlis",19508
13,21 May 2026,"Socioeconomic Indicators by State, First Quarter 2026 - Pulau Pinang",19509
13,21 May 2026,"Socioeconomic Indicators by State, First Quarter 2026 - Sabah",19510
13,21 May 2026,"Socioeconomic Indicators by State, First Quarter 2026 - Sarawak",19511
13,21 May 2026,"Socioeconomic Indicators by State, First Quarter 2026 - Selangor",19512
13,21 May 2026,"Socioeconomic Indicators by State, First Quarter 2026 - Terengganu",19513
13,21 May 2026,"Socioeconomic Indicators by State, First Quarter 2026 - Wilayah Persekutuan",19514
13,21 May 2026,Labour Productivity First Quarter 2026,19572
13,21 May 2026,"Socioeconomic Indicators by State, First Quarter 2026 - Negeri Sembilan",19505
13,21 May 2026,"Socioeconomic Indicators by State, First Quarter 2026 - Johor",19501
13,21 May 2026,"Socioeconomic Indicators by State, First Quarter 2026 - Kedah",19502
14,21 May 2026,"Socioeconomic Indicators by State, First Quarter 2026 - Kedah",19502
14,21 May 2026,"Socioeconomic Indicators by State, First Quarter 2026 - Johor",19501
14,20 May 2026,Manufacturing Industry Capacity Utilisation Statistics,19499
14,20 May 2026,"Malaysia External Trade Statistics, April 2026",19490
14,20 May 2026,"Malaysia External Trade Statistics, April 2026 - Publication",19645
14,19 May 2026,"Consumer Price Index Malaysia, April 2026",19466
14,15 May 2026,Publication Gross Domestic Product First Quarter 2026,19435
14,15 May 2026,INTERNATIONAL INVESTMENT POSITION,19425
14,15 May 2026,GROSS DOMESTIC PRODUCT 2025,19437
14,15 May 2026,"Quarterly Balance of Payments, First Quarter 2026",19426
15,14 May 2026,"Employment Statistics, First Quarter 2026",19402
15,13 May 2026,MONTHLY RUBBER STATISTICS,19379
15,13 May 2026,Construction Statistics First Quarter 2026,19383
15,12 May 2026,"TIME SERIES STATISTICS ON CAUSES OF DEATH, MALAYSIA, 2010-2019",19334
15,12 May 2026,"Labour Force Survey Report, First Quarter 2026",19347
15,12 May 2026,Special Release 1 - For Civil Engineering Works Peninsular Malaysia,19287
15,12 May 2026,Special Release 1 - For Civil Engineering Works Sabah and Sarawak,19291
15,12 May 2026,Special Release 2 - For Building and Structural Works Sabah and Sarawak,19295
15,12 May 2026,"LABOUR FORCE STATISTICS, MARCH 2026",19345
15,12 May 2026,Special Release 3 - For Mechanical and Electrical Works Malaysia,19299
16,12 May 2026,"LABOUR FORCE STATISTICS, MARCH 2026",19345
16,12 May 2026,"Labour Force Survey Report, First Quarter 2026",19347
16,11 May 2026,"Publication - Volume Index of Wholesale & Retail Trade, First Quarter 2026",19243
16,11 May 2026,"Publication Performance of Wholesale & Retail Trade, March 2026",19259
16,11 May 2026,QUARTERLY VOLUME INDEX OF SERVICES Q1 2026,19273
16,11 May 2026,PUBLICATION QSS Q1 2026,19281
16,8 May 2026,"MONTHLY MANUFACTURING STATISTICS, MARCH 2026",19210
16,8 May 2026,"Index of Industrial Production, Malaysia",19228
16,7 May 2026,PUBLICATION Q1 2026,19193
16,30 April 2026,"Monthly Statistical Bulletin Malaysia, February 2026",19177
17,30 April 2026,"Malaysian Economic Statistics Review (MESR), Volume 4/2026",19187
17,29 April 2026,"Employee Wages Statistics (Formal Sector), Fourth Quarter 2025",19169
17,29 April 2026,"Publication National Transfer Accounts, Malaysia, 2022",19164
17,29 April 2026,ANALYSIS OF ANNUAL CONSUMER PRICE INDEX 2025,19162
17,28 April 2026,"Malaysia External Trade Indices, March 2026",19123
17,27 April 2026,"Producer Price Index - Local Production, March 2026",19113
17,24 April 2026,"MALAYSIAN ECONOMIC INDICATORS LEADING, COINCIDENT & LAGGING INDEXES FEBRUARY 2026",19086
17,23 April 2026,Publication ICT Usage and Access Survey by Individuals and Households (ICTHS) 2025,19082
17,23 April 2026,SPECIAL REPORT: LIVING QUARTERS MALAYSIA,19072
17,20 April 2026,"Malaysia External Trade Statistics, March 2026",19010
18,20 April 2026,"Malaysia External Trade Statistics, March 2026 - Publication",19134
18,17 April 2026,Publication Advance Gross Domestic Product (GDP) Estimates First Quarter 2026,18996
18,17 April 2026,"Consumer Price Index Malaysia, March 2026",18997
18,16 April 2026,Agriculture Census 2024 Report Federal Territory,18936
18,16 April 2026,Agriculture Census 2024 Report Sarawak (Jilid 1),18939
18,16 April 2026,Agriculture Census 2024 Report Kelantan,18892
18,16 April 2026,Agriculture Census 2024 Report Pahang,18904
18,16 April 2026,Agriculture Census 2024 Report Negeri Sembilan,18900
18,16 April 2026,Agriculture Census 2024 Report Melaka,18896
18,16 April 2026,Agriculture Census 2024 Report Sabah,18928
19,16 April 2026,Agriculture Census 2024 Report Negeri Sembilan,18900
19,16 April 2026,Agriculture Census 2024 Report Pahang,18904
19,16 April 2026,Agriculture Census 2024 Report Perak,18911
19,16 April 2026,Agriculture Census 2024 Report Sarawak (Jilid 2),18932
19,16 April 2026,Agriculture Census 2024 Report Terengganu,18924
19,16 April 2026,Agriculture Census 2024 Report Perlis,18916
19,16 April 2026,Agriculture Census 2024 Report Pulau Pinang,18908
19,16 April 2026,Agriculture Census 2024 Report Selangor,18920
19,15 April 2026,"SPECIAL REPORT ON IMPACT OF FLOODS IN MALAYSIA, 2025",18881
19,13 April 2026,MONTHLY RUBBER STATISTICS,18872
20,10 April 2026,"LABOUR FORCE STATISTICS, FEBRUARY 2026",18856
20,10 April 2026,"Publication Performance of Wholesale & Retail Trade, February 2026",18845
20,9 April 2026,Special Release 1 - For Civil Engineering Works Peninsular Malaysia,18795
20,9 April 2026,Special Release 3 - For Mechanical and Electrical Works Malaysia,18782
20,9 April 2026,Special Release 2 - For Building and Structural Works Sabah and Sarawak,18787
20,9 April 2026,Special Release 1 - For Civil Engineering Works Sabah and Sarawak,18791
20,9 April 2026,"Monthly Manufacturing Statistics, February 2026",18823
20,9 April 2026,"Index of Industrial Production, Malaysia",18835
20,9 April 2026,Special Release 2 - For Building and Structural Works,18799
20,31 March 2026,"Malaysian Economic Statistics Review (MESR), Volume 3/2026",18744
21,30 March 2026,"Monthly Statistical Bulletin Malaysia, January 2026",18437
21,27 March 2026,"Malaysia External Trade Indices, February 2026",18102
21,27 March 2026,"Producer Price Index – Local Production, February 2026",18071
21,19 March 2026,"Malaysia External Trade Statistics, February 2026 - Publication",18133
21,19 March 2026,"Malaysia External Trade Statistics, February 2026",17918
21,19 March 2026,"MALAYSIAN ECONOMIC INDICATORS LEADING, COINCIDENT & LAGGING INDEXES JANUARY 2026",17872
21,19 March 2026,"Consumer Price Index Malaysia, February 2026",18634
21,17 March 2026,Bulletin Domestic Tourism Survey Q4 2025,17778
21,12 March 2026,"Performance of Wholesale & Retail Trade, January 2026",17367
21,12 March 2026,"Monthly Rubber Statistics, January 2026",17340
22,11 March 2026,"Labour Force Statistics, January 2026",17190
22,11 March 2026,Special Release 1 - For Civil Engineering Works Peninsular Malaysia,17167
22,11 March 2026,Special Release 1 - For Civil Engineering Works Sabah and Sarawak,17163
22,11 March 2026,"Special Release 2 - For Building and Structural Works, February 2026",17150
22,11 March 2026,Special Release 2 - For Building and Structural Works Sabah and Sarawak,17146
22,11 March 2026,Special Release 3 - For Mechanical and Electrical Works Malaysia,17139
22,10 March 2026,"Index of Industrial Production, January 2026",17102
22,10 March 2026,"Monthly Manufacturing Statistics, January 2026",17114
22,4 March 2026,Publication Mining of Petroleum and Natural Gas Statistics Q4 2025,16854
22,27 February 2026,"Malaysian Economic Statistics Review (MESR), Volume 2/2026",17294
23,27 February 2026,"Malaysian Economic Statistics Review (MESR), Volume 2/2026",17294
23,27 February 2026,"Malaysia External Trade Indices, January 2026",17259
23,26 February 2026,"Producer Price Index – Local Production, January 2026",17200
23,26 February 2026,"Monthly Statistical Bulletin Malaysia, December 2025",17210
23,26 February 2026,"Labour Market Review (LMR), Fourth Quarter 2025",17214
23,24 February 2026,"Manufacturing Industry Capacity Utilisation Statistics, Fourth Quarter 2025",19457
23,23 February 2026,"Labour Productivity, Fourth Quarter 2025",17080
23,20 February 2026,"Malaysia External Trade Statistics, January 2026 - Publication",17063
23,20 February 2026,"Malaysian Economic Indicators: Leading, Coincident & Lagging Indexes, December 2025",17049
23,20 February 2026,"Malaysia External Trade Statistics, January 2026 - Bulletin",17062
24,20 February 2026,Multidimensional Poverty Malaysia 2024,17039
24,19 February 2026,"Consumer Price Index Malaysia, January 2026",17009
24,13 February 2026,"International Investment Position, Fourth Quarter 2025",16992
24,13 February 2026,Gross Domestic Product Fourth Quarter 2025,16948
24,13 February 2026,"Quarterly Balance of Payments, Fourth Quarter 2025",16960
24,12 February 2026,"Monthly Rubber Statistics, December 2025",16888
24,12 February 2026,"Employment Statistics, Fourth Quarter 2025",16927
24,11 February 2026,"Special Release 2 - For Building and Structural Works, January 2026",16668
24,11 February 2026,"Special Release 1 - For Civil Engineering Works Sabah and Sarawak, January 2026",16663
24,11 February 2026,"Special Release 2 - For Building and Structural Works Sabah and Sarawak, January 2026",16655
25,11 February 2026,"Special Release 2 - For Building and Structural Works, January 2026",16668
25,11 February 2026,"Special Release 1 - For Civil Engineering Works Sabah and Sarawak, January 2026",16663
25,11 February 2026,"Special Release 1 - For Civil Engineering Works Peninsular Malaysia, January 2026",16659
25,11 February 2026,"Special Release 2 - For Building and Structural Works Sabah and Sarawak, January 2026",16655
25,11 February 2026,"Special Release 3 - Mechanical and Electrical Works Malaysia, January 2026",16651
25,10 February 2026,"Performance of Wholesale & Retail Trade, December 2025",16678
25,10 February 2026,"Quarterly Services Statistics, Q4 2025",16742
25,10 February 2026,Volume Index of Wholesale & Retail Trade Fourth Quarter 2025,16701
25,10 February 2026,Volume Index of Services Fourth Quarter 2025,16726
25,9 February 2026,"Monthly Manufacturing Statistics, Malaysia, December 2025",16640
26,9 February 2026,"Index of Industrial Production, December 2025",16628
26,5 February 2026,"Publication Services Producer Price Index, Fourth Quarter 2025",16606
26,30 January 2026,"Malaysian Economic Statistics Review (MESR), Volume 1/2026",16772
26,29 January 2026,"Monthly Statistical Bulletin Malaysia, November 2025",16768
26,28 January 2026,Producer Price index December 2025,16716
26,28 January 2026,"Malaysia External Trade Indices, December 2025",16757
26,27 January 2026,"Employee Wages Statistics (Formal Sector), Third Quarter 2025",16695
26,23 January 2026,"MALAYSIAN ECONOMIC INDICATORS LEADING, COINCIDENT & LAGGING INDEXES NOVEMBER 2025",16622
26,20 January 2026,"Malaysia External Trade Statistics, December 2025",16597
26,20 January 2026,"Malaysia External Trade Statistics, December 2025",16598
27,20 January 2026,"Consumer Price Index Malaysia, December 2025",16583
27,16 January 2026,Publication Advance Gross Domestic Product (GDP) Estimates Fourth Quarter 2025,16568
27,13 January 2026,MONTHLY RUBBER STATISTICS,16556
27,12 January 2026,Special Release 2 - For Building and Structural Works Sabah and Sarawak,16547
27,12 January 2026,Special Release 1 - For Civil Engineering Works Peninsular Malaysia,16531
27,12 January 2026,Special Release 3 - For Mechanical and Electrical Works Malaysia,16551
27,12 January 2026,Special Release 1 - For Civil Engineering Works Sabah and Sarawak,16535
27,12 January 2026,Special Release 2 - For Building and Structural Works,16540
27,9 January 2026,"LABOUR FORCE MALAYSIA, NOVEMBER 2025",16484
27,9 January 2026,"Index of Industrial Production, Malaysia",16496
28,9 January 2026,"MONTHLY MANUFACTURING STATISTICS, NOVEMBER 2025",16508
28,9 January 2026,"Publication Performance of Wholesale & Retail Trade, November 2025",16520
28,31 December 2025,"Publication Environment Statistics, Kelantan 2025",18155
28,31 December 2025,"Malaysian Economic Statistics Review (MESR), Volume 12/2025",18093
28,31 December 2025,"Publication Environment Statistics, Terengganu 2025",18233
28,31 December 2025,"Publication Environment Statistics, Perak 2025",18230
28,31 December 2025,"Publication Environment Statistics, Perlis 2025",18231
28,31 December 2025,"Publication Environment Statistics, Selangor 2025",18232
28,31 December 2025,"Publication Environment Statistics, Sarawak 2025",18261
28,31 December 2025,"Publication Environment Statistics, Wilayah Persekutuan 2025",18262
29,31 December 2025,"Publication Environment Statistics, Perlis 2025",18231
29,31 December 2025,"Publication Environment Statistics, Perak 2025",18230
29,31 December 2025,"Publication Environment Statistics, Pahang 2025",18228
29,31 December 2025,"Publication Environment Statistics, Kedah 2025",18154
29,31 December 2025,"Publication Environment Statistics, Pulau Pinang 2025",18229
29,31 December 2025,"Publication Environment Statistics, Negeri Sembilan 2025",18227
29,31 December 2025,"Publication Environment Statistics, Melaka 2025",18156
29,30 December 2025,"Compendium of Environment Statistics, Malaysia",18503
29,30 December 2025,"Monthly Statistical Bulletin Malaysia, October 2025",18498
29,29 December 2025,"Malaysia Trade Statistics Review (MTSR), 2025",18672
30,29 December 2025,"Malaysia Trade Statistics Review (MTSR), 2025",18672
30,26 December 2025,"Malaysia External Trade Indices, November 2025",18520
30,26 December 2025,"Selected Agricultural Indicators, Malaysia, 2025",18538
30,24 December 2025,"Cost of Living Indicators, 2024 - Perlis",20448
30,24 December 2025,"Cost of Living Indicators, 2024 - Kedah",20441
30,24 December 2025,"Cost of Living Indicators, 2024 - Terengganu",20450
30,24 December 2025,"Cost of Living Indicators, 2024 - Selangor",20449
30,24 December 2025,Basic Amenities Survey Report 2024,18494
30,24 December 2025,"Cost of Living Indicators, 2024 - Pahang",20445
30,24 December 2025,"Cost of Living Indicators, 2024 - Pulau Pinang",20446
31,24 December 2025,"Cost of Living Indicators, 2024 - Terengganu",20450
31,24 December 2025,"Cost of Living Indicators, 2024 - Kedah",20441
31,24 December 2025,"International Migration Statistics, Malaysia, 2025",17701
31,24 December 2025,"Cost of Living Indicators, 2024 - Federal Territory",20453
31,24 December 2025,"Cost of Living Indicators, 2024 - Sarawak",20452
31,24 December 2025,"Cost of Living Indicators, 2024 - Sabah",20451
31,24 December 2025,"Cost of Living Indicators, 2024 - Negeri Sembilan",20444
31,24 December 2025,"Cost of Living Indicators, 2024 - Kelantan",20442
31,24 December 2025,"Cost of Living Indicators, 2024 - Johor",20440
31,24 December 2025,"Cost of Living Indicators, 2024 - Melaka",20443
32,23 December 2025,Agriculture Census 2024 Report: Paddy,17958
32,23 December 2025,Agriculture Census 2024 Report: Employment,17971
32,23 December 2025,Agriculture Census 2024 Report: Cocoa,17955
32,23 December 2025,"MALAYSIAN ECONOMIC INDICATORS LEADING, COINCIDENT & LAGGING INDEXES OCTOBER 2025",17884
32,23 December 2025,Agriculture Census 2024 Report: Vegetables,17967
32,23 December 2025,Agriculture Census 2024 Report: Captured Fisheries,17965
32,23 December 2025,Agriculture Census 2024 Report: Kenaf,17954
32,23 December 2025,Agriculture Census 2024 Report: Pineapple,17957
32,23 December 2025,Agriculture Census 2024 Report: Forestry & Logging,17963
32,23 December 2025,Agriculture Census 2024 Report: Other Crops,17968
33,23 December 2025,"MALAYSIAN ECONOMIC INDICATORS LEADING, COINCIDENT & LAGGING INDEXES OCTOBER 2025",17884
33,23 December 2025,Agriculture Census 2024 Report: Vegetables,17967
33,23 December 2025,Agriculture Census 2024 Report: Captured Fisheries,17965
33,23 December 2025,Agriculture Census 2024 Report: Kenaf,17954
33,23 December 2025,Agriculture Census 2024 Report: Cocoa,17955
33,23 December 2025,Agriculture Census 2024 Report: Pepper,17956
33,23 December 2025,Agriculture Census 2024 Report: Pineapple,17957
33,23 December 2025,Agriculture Census 2024 Report: Forestry & Logging,17963
33,22 December 2025,"Consumer Price Index Malaysia, November 2025",17839
33,19 December 2025,"Malaysia External Trade Statistics, November 2025 - Publication",17794
34,19 December 2025,"Malaysia External Trade Statistics, April 2025",17793
34,19 December 2025,Malaysian Well-Being Index at State Level 2024,17811
34,19 December 2025,Malaysian Well-Being Index 2024,17810
34,18 December 2025,"MIGRATION SURVEY REPORT, MALAYSIA, 2024",17710
34,18 December 2025,"STATISTICS ON CAUSES OF DEATH, MALAYSIA, 2025",17725
34,18 December 2025,Publications,17735
34,18 December 2025,Performance of Domestic Tourism in Third Quarter 2025,17756
34,17 December 2025,"Sustainable Development Goals (SDG) Indicators, 2024 - WP Putrajaya",17387
34,17 December 2025,"Statistics Yearbook, Sabah",17186
34,17 December 2025,"Sustainable Development Goals (SDG) Indicators, Malaysia, 2024 - Executive Summary",17238
35,17 December 2025,"Sustainable Development Goals (SDG) Indicators, 2024 - WP Labuan",17386
35,17 December 2025,"Sustainable Development Goals (SDG) Indicators, 2024 - WP Kuala Lumpur",17382
35,17 December 2025,"Sustainable Development Goals (SDG) Indicators, 2024 - Sarawak",17380
35,17 December 2025,"Sustainable Development Goals (SDG) Indicators, 2024 - Pulau Pinang",17361
35,17 December 2025,"Sustainable Development Goals (SDG) Indicators, 2024 - Kedah",17346
35,17 December 2025,"Sustainable Development Goals (SDG) Indicators, 2024 - Kelantan",17348
35,17 December 2025,"Sustainable Development Goals (SDG) Indicators, 2024 - Melaka",17354
35,17 December 2025,"Sustainable Development Goals (SDG) Indicators, 2024 - Negeri Sembilan",17355
35,17 December 2025,"Sustainable Development Goals (SDG) Indicators, 2024 - Pahang",17360
35,17 December 2025,"Sustainable Development Goals (SDG) Indicators, 2024 - Perlis",17372
36,17 December 2025,"Sustainable Development Goals (SDG) Indicators, 2024 - WP Kuala Lumpur",17382
36,17 December 2025,"Sustainable Development Goals (SDG) Indicators, 2024 - WP Labuan",17386
36,17 December 2025,"Sustainable Development Goals (SDG) Indicators, 2024 - WP Putrajaya",17387
36,17 December 2025,"Statistics Yearbook, Sabah",17186
36,17 December 2025,"Sustainable Development Goals (SDG) Indicators, Malaysia, 2024 - Prosperity",17255
36,17 December 2025,"Sustainable Development Goals (SDG) Indicators, 2024 - Johor",17258
36,17 December 2025,"Statistics Yearbook, Sarawak",17184
36,17 December 2025,"Sustainable Development Goals (SDG) Indicators, Malaysia, 2024 - Planet",17246
36,17 December 2025,"Sustainable Development Goals (SDG) Indicators, Malaysia, 2024 - Peace and Partnership",17252
36,17 December 2025,"Sustainable Development Goals (SDG) Indicators, Malaysia, 2024 - People",17239
37,16 December 2025,Regional Tourism Satellite Account Sabah 2024,17173
37,15 December 2025,"SUPPLY AND UTILIZATION ACCOUNTS SELECTED AGRICULTURAL COMMODITIES, MALAYSIA, 2020 - 2024",17128
37,15 December 2025,ECONOMIC CENSUS 2023 - ENVIRONMENTAL PROTECTION EXPENDITURE,17140
37,12 December 2025,"Publication Performance of Wholesale & Retail Trade, October 2025",16991
37,12 December 2025,"MONTHLY MANUFACTURING STATISTICS, OCTOBER 2025",17026
37,12 December 2025,"Index of Industrial Production, Malaysia",17074
37,11 December 2025,"PERSON WITH DISABILITY STATISTICS, MALAYSIA, 2024",16941
37,11 December 2025,MONTHLY RUBBER STATISTICS,16976
37,10 December 2025,"LABOUR FORCE MALAYSIA, OCTOBER 2025",16901
37,10 December 2025,Special Release 2 - For Building and Structural Works,16932
38,10 December 2025,Special Release 3 - For Mechanical and Electrical Works Malaysia,16881
38,10 December 2025,"LABOUR FORCE MALAYSIA, OCTOBER 2025",16901
38,10 December 2025,Special Release 2 - For Building and Structural Works Sabah and Sarawak,16915
38,10 December 2025,Special Release 1 - For Civil Engineering Works Sabah and Sarawak,16922
38,3 December 2025,Publication Mining of Petroleum and Natural Gas Statistics Q3 2025,16866
38,2 December 2025,Bumiputera Statistics 2025 Publication,16834
38,28 November 2025,"Malaysian Economic Statistics Review (MESR), Volume 11/2025",18428
38,28 November 2025,NATIONAL ECONOMIC ACCOUNTS OF MALAYSIA,18463
38,28 November 2025,"Malaysia External Trade Indices, October 2025",18450
38,28 November 2025,"Monthly Statistical Bulletin Malaysia, September 2025",18439
39,27 November 2025,"Business Tendency Statistics, Fourth Quarter 2025",18403
39,27 November 2025,Producer Price index October 2025,18415
39,26 November 2025,MALAYSIA DIGITAL ECONOMY 2025,18384
39,25 November 2025,"Manufacturing Industry Capacity Utilisation Statistics, Third Quarter 2025",18240
39,25 November 2025,"MALAYSIAN ECONOMIC INDICATORS LEADING, COINCIDENT & LAGGING INDEXES SEPTEMBER 2025",17896
