site,theme,subtheme,id,title,data_as_of,data_source,link_csv,link_parquet,has_editions,description
data.gov.my,Financial Markets,Banking System,interestrates_annual,Annual Interest Rates,2025,BNM,https://storage.data.gov.my/finsector/interest_rates_annual.csv,https://storage.data.gov.my/finsector/interest_rates_annual.parquet,no,"Various interest rates monitored by Bank Negara Malaysia, such as fixed deposit rates, base rates, and lending rates."
data.gov.my,Financial Markets,Payments,trnsc_daily_fpx,Daily FPX Transactions,2026-08-15 23:59,PayNet; BNM,https://storage.data.gov.my/finsector/payments/trnsc_daily_fpx.csv,https://storage.data.gov.my/finsector/payments/trnsc_daily_fpx.parquet,no,Daily volume and value of FPX transactions by business model.
data.gov.my,Financial Markets,Payments,trnsc_daily_san,Daily Shared ATM Network (SAN) Transactions,2026-08-15 23:59,PayNet; BNM,https://storage.data.gov.my/finsector/payments/trnsc_daily_san.csv,https://storage.data.gov.my/finsector/payments/trnsc_daily_san.parquet,no,Daily volume and value of Shared ATM Network (SAN) transactions by geographic segment.
data.gov.my,Financial Markets,Payments,trnsc_daily_jompay,Daily JomPAY Transactions,2026-08-15 23:59,PayNet; BNM,https://storage.data.gov.my/finsector/payments/trnsc_daily_jompay.csv,https://storage.data.gov.my/finsector/payments/trnsc_daily_jompay.parquet,no,Daily volume and value of JomPAY transactions.
data.gov.my,Financial Markets,Payments,trnsc_daily_directdebit,Daily DirectDebit Transactions,2026-08-15 23:59,PayNet; BNM,https://storage.data.gov.my/finsector/payments/trnsc_daily_directdebit.csv,https://storage.data.gov.my/finsector/payments/trnsc_daily_directdebit.parquet,no,Daily volume and value of DirectDebit transactions.
data.gov.my,Financial Markets,Payments,payment_instruments,Monthly Usage of Payment Instruments,2026-02,BNM,https://storage.data.gov.my/finsector/payments/instruments.csv,https://storage.data.gov.my/finsector/payments/instruments.parquet,no,"Monthly volume and value of transactions, disaggregated by payment instrument."
data.gov.my,Financial Markets,Payments,payment_channels,Monthly Usage of Payment Channels,2026-02,BNM,https://storage.data.gov.my/finsector/payments/channels.csv,https://storage.data.gov.my/finsector/payments/channels.parquet,no,"Monthly volume and value of transactions, disaggregated by payment channel."
data.gov.my,Financial Markets,Payments,payment_systems,Monthly Usage of Payment Systems,2026-02,BNM,https://storage.data.gov.my/finsector/payments/systems.csv,https://storage.data.gov.my/finsector/payments/systems.parquet,no,"Monthly volume and value of transactions, disaggregated by payment system."
data.gov.my,Financial Markets,Foreign Exchange,exchangerates_daily_0900,Daily Exchange Rates (0900),2026-08-14 09:00,BNM,https://storage.data.gov.my/finsector/exr/daily_0900.csv,https://storage.data.gov.my/finsector/exr/daily_0900.parquet,no,"Daily rates of exchange of the Malaysian ringgit vis-à-vis selected currencies at 0900, acting as a start-of-day reference. The table and charts provide a preview using the latest 1 year of data, but you may download the full dataset containing daily rates since 2003."
data.gov.my,Financial Markets,Foreign Exchange,exchangerates_daily_1130,Daily Exchange Rates (1130),2026-08-14 11:30,BNM,https://storage.data.gov.my/finsector/exr/daily_1130.csv,https://storage.data.gov.my/finsector/exr/daily_1130.parquet,no,"Daily rates of exchange of the Malaysian ringgit vis-à-vis selected currencies at 1130, which are the best counter rates offered by selected commercial banks. The table and charts provide a preview using the latest 1 year of data, but you may download the full dataset containing daily rates since 2003."
data.gov.my,Financial Markets,Foreign Exchange,exchangerates_daily_1200,Daily Exchange Rates (1200),2026-08-14 12:00,BNM,https://storage.data.gov.my/finsector/exr/daily_1200.csv,https://storage.data.gov.my/finsector/exr/daily_1200.parquet,no,"Daily rates of exchange of the Malaysian ringgit vis-à-vis selected currencies at 1200, acting as a mid-day reference. The table and charts provide a preview using the latest 1 year of data, but you may download the full dataset containing daily rates since 2003."
data.gov.my,Financial Markets,Foreign Exchange,exchangerates_daily_1700,Daily Exchange Rates (1700),2026-08-14 17:00,BNM,https://storage.data.gov.my/finsector/exr/daily_1700.csv,https://storage.data.gov.my/finsector/exr/daily_1700.parquet,no,"Daily rates of exchange of the Malaysian ringgit vis-à-vis selected currencies at 1700, acting as a end-of-day reference. The table and charts provide a preview using the latest 1 year of data, but you may download the full dataset containing daily rates since 2003."
data.gov.my,Financial Markets,Foreign Exchange,exchangerates,Monthly Exchange Rates,2026-04-30 12:00,BNM,https://storage.data.gov.my/finsector/exr/monthly.csv,https://storage.data.gov.my/finsector/exr/monthly.parquet,no,Monthly rates of exchange of the Malaysian ringgit vis-à-vis selected currencies.
