state,breakdown,category,hotels,rooms
Sarawak,star_rating,4_star,16,3793
Sarawak,star_rating,3_star,36,4254
Sarawak,star_rating,2_star,21,1594
Sarawak,star_rating,1_star,20,936
Sarawak,star_rating,3_orchid,19,655
Sarawak,star_rating,2_orchid,39,989
Sarawak,star_rating,1_orchid,30,659
Sarawak,star_rating,unrated,199,6236
Sarawak,star_rating,total,387,21194
Sarawak,location,city_town,374,19474
Sarawak,location,beach,5,967
Sarawak,location,hill,4,456
Sarawak,location,other_location,4,297
Sarawak,location,total,387,21194
Selangor,star_rating,5_star,20,7762
Selangor,star_rating,4_star,23,6155
Selangor,star_rating,3_star,35,5009
Selangor,star_rating,2_star,20,1053
Selangor,star_rating,1_star,4,424
Selangor,star_rating,3_orchid,9,425
Selangor,star_rating,2_orchid,11,387
Selangor,star_rating,1_orchid,6,167
Selangor,star_rating,unrated,82,4707
Selangor,star_rating,total,210,26089
Selangor,location,city_town,197,24816
Selangor,location,beach,9,803
Selangor,location,hill,0,0
Selangor,location,other_location,4,470
Selangor,location,total,210,26089
Terengganu,star_rating,5_star,5,947
Terengganu,star_rating,4_star,9,1157
Terengganu,star_rating,3_star,25,2473
Terengganu,star_rating,2_star,18,1033
Terengganu,star_rating,1_star,6,185
Terengganu,star_rating,3_orchid,23,803
Terengganu,star_rating,2_orchid,20,460
Terengganu,star_rating,1_orchid,4,126
Terengganu,star_rating,unrated,140,4303
Terengganu,star_rating,total,250,11487
Terengganu,location,city_town,89,4053
Terengganu,location,beach,137,6422
Terengganu,location,hill,4,195
Terengganu,location,other_location,20,817
Terengganu,location,total,250,11487
W.P. Kuala Lumpur,star_rating,5_star,37,14636
W.P. Kuala Lumpur,star_rating,4_star,42,12461
W.P. Kuala Lumpur,star_rating,3_star,35,8092
W.P. Kuala Lumpur,star_rating,2_star,21,1898
W.P. Kuala Lumpur,star_rating,1_star,17,1247
W.P. Kuala Lumpur,star_rating,3_orchid,2,72
W.P. Kuala Lumpur,star_rating,2_orchid,5,202
W.P. Kuala Lumpur,star_rating,1_orchid,8,285
W.P. Kuala Lumpur,star_rating,unrated,87,8632
W.P. Kuala Lumpur,star_rating,total,254,47525
W.P. Kuala Lumpur,location,city_town,254,47525
W.P. Kuala Lumpur,location,beach,0,0
W.P. Kuala Lumpur,location,hill,0,0
W.P. Kuala Lumpur,location,other_location,0,0
W.P. Kuala Lumpur,location,total,254,47525
W.P. Labuan,star_rating,5_star,1,136
W.P. Labuan,star_rating,4_star,1,111
W.P. Labuan,star_rating,3_star,4,421
W.P. Labuan,star_rating,2_star,5,251
W.P. Labuan,star_rating,1_star,7,193
W.P. Labuan,star_rating,3_orchid,3,54
W.P. Labuan,star_rating,2_orchid,1,10
W.P. Labuan,star_rating,1_orchid,1,18
W.P. Labuan,star_rating,unrated,18,503
W.P. Labuan,star_rating,total,41,1697
W.P. Labuan,location,city_town,38,1448
W.P. Labuan,location,beach,2,215
W.P. Labuan,location,hill,0,0
W.P. Labuan,location,other_location,1,34
W.P. Labuan,location,total,41,1697
W.P. Putrajaya,star_rating,5_star,3,678
W.P. Putrajaya,star_rating,4_star,3,1053
W.P. Putrajaya,star_rating,3_star,0,0
W.P. Putrajaya,star_rating,2_star,0,0
W.P. Putrajaya,star_rating,1_star,0,0
W.P. Putrajaya,star_rating,3_orchid,0,0
W.P. Putrajaya,star_rating,2_orchid,0,0
W.P. Putrajaya,star_rating,1_orchid,0,0
W.P. Putrajaya,star_rating,unrated,1,38
W.P. Putrajaya,star_rating,total,7,1769
W.P. Putrajaya,location,city_town,5,1242
W.P. Putrajaya,location,beach,0,0
W.P. Putrajaya,location,hill,0,0
W.P. Putrajaya,location,other_location,2,527
W.P. Putrajaya,location,total,7,1769
