state_of_origin,state_visited,tourists_thousand_2025
Perlis,Sabah,4.0
Perlis,Sarawak,1.2
Perlis,W.P. Kuala Lumpur,79.7
Perlis,W.P. Labuan,7.0
Perlis,W.P. Putrajaya,11.8
Selangor,Malaysia,24147.4
Selangor,Johor,1996.0
Selangor,Kedah,1676.1
Selangor,Kelantan,1506.2
Selangor,Melaka,2725.9
Selangor,Negeri Sembilan,1980.1
Selangor,Pahang,2517.6
Selangor,Pulau Pinang,2362.7
Selangor,Perak,3116.6
Selangor,Perlis,480.3
Selangor,Selangor,2429.0
Selangor,Terengganu,762.7
Selangor,Sabah,531.7
Selangor,Sarawak,125.5
Selangor,W.P. Kuala Lumpur,1819.4
Selangor,W.P. Labuan,46.4
Selangor,W.P. Putrajaya,71.4
Terengganu,Malaysia,3105.6
Terengganu,Johor,106.7
Terengganu,Kedah,83.7
Terengganu,Kelantan,520.8
Terengganu,Melaka,115.6
Terengganu,Negeri Sembilan,105.9
Terengganu,Pahang,374.0
Terengganu,Pulau Pinang,126.5
Terengganu,Perak,151.7
Terengganu,Perlis,5.7
Terengganu,Selangor,248.3
Terengganu,Terengganu,687.4
Terengganu,Sabah,6.1
Terengganu,Sarawak,64.3
Terengganu,W.P. Kuala Lumpur,419.7
Terengganu,W.P. Labuan,5.0
Terengganu,W.P. Putrajaya,84.3
Sabah,Malaysia,8898.1
Sabah,Johor,73.5
Sabah,Kedah,315.7
Sabah,Kelantan,296.5
Sabah,Melaka,50.6
Sabah,Negeri Sembilan,95.5
Sabah,Pahang,212.0
Sabah,Pulau Pinang,64.5
Sabah,Perak,110.0
Sabah,Perlis,14.7
Sabah,Selangor,574.1
Sabah,Terengganu,84.0
Sabah,Sabah,5536.0
Sabah,Sarawak,561.9
Sabah,W.P. Kuala Lumpur,783.7
Sabah,W.P. Labuan,71.6
Sabah,W.P. Putrajaya,53.7
Sarawak,Malaysia,5665.5
Sarawak,Johor,30.2
Sarawak,Kedah,25.9
Sarawak,Kelantan,89.9
Sarawak,Melaka,97.0
Sarawak,Negeri Sembilan,51.5
Sarawak,Pahang,8.8
Sarawak,Pulau Pinang,138.2
Sarawak,Perak,18.4
Sarawak,Perlis,4.4
Sarawak,Selangor,322.4
Sarawak,Terengganu,3.5
Sarawak,Sabah,149.6
Sarawak,Sarawak,4128.1
Sarawak,W.P. Kuala Lumpur,575.3
Sarawak,W.P. Labuan,9.6
Sarawak,W.P. Putrajaya,12.7
W.P. Kuala Lumpur,Malaysia,11690.0
W.P. Kuala Lumpur,Johor,1470.0
W.P. Kuala Lumpur,Kedah,619.6
W.P. Kuala Lumpur,Kelantan,524.9
W.P. Kuala Lumpur,Melaka,916.0
W.P. Kuala Lumpur,Negeri Sembilan,937.4
W.P. Kuala Lumpur,Pahang,1635.1
W.P. Kuala Lumpur,Pulau Pinang,548.4
W.P. Kuala Lumpur,Perak,2017.8
W.P. Kuala Lumpur,Perlis,97.9
W.P. Kuala Lumpur,Selangor,1335.4
W.P. Kuala Lumpur,Terengganu,387.1
W.P. Kuala Lumpur,Sabah,138.3
W.P. Kuala Lumpur,Sarawak,390.1
W.P. Kuala Lumpur,W.P. Kuala Lumpur,578.9
W.P. Kuala Lumpur,W.P. Labuan,6.8
W.P. Kuala Lumpur,W.P. Putrajaya,86.2
W.P. Labuan,Malaysia,379.2
W.P. Labuan,Johor,19.2
W.P. Labuan,Kedah,12.2
W.P. Labuan,Kelantan,21.3
W.P. Labuan,Melaka,20.0
W.P. Labuan,Negeri Sembilan,30.2
W.P. Labuan,Pahang,5.7
W.P. Labuan,Pulau Pinang,10.8
W.P. Labuan,Perak,3.7
W.P. Labuan,Perlis,5.1
W.P. Labuan,Selangor,21.3
W.P. Labuan,Terengganu,5.4
W.P. Labuan,Sabah,188.7
W.P. Labuan,Sarawak,11.3
W.P. Labuan,W.P. Kuala Lumpur,19.9
W.P. Labuan,W.P. Labuan,2.8
W.P. Labuan,W.P. Putrajaya,1.5
W.P. Putrajaya,Malaysia,471.1
W.P. Putrajaya,Johor,90.7
W.P. Putrajaya,Kedah,35.1
W.P. Putrajaya,Kelantan,71.4
W.P. Putrajaya,Melaka,19.2
W.P. Putrajaya,Negeri Sembilan,78.1
W.P. Putrajaya,Pahang,38.5
W.P. Putrajaya,Pulau Pinang,4.6
W.P. Putrajaya,Perak,46.4
W.P. Putrajaya,Perlis,5.6
W.P. Putrajaya,Selangor,29.6
W.P. Putrajaya,Terengganu,14.6
W.P. Putrajaya,Sabah,1.5
W.P. Putrajaya,Sarawak,3.2
W.P. Putrajaya,W.P. Kuala Lumpur,27.6
W.P. Putrajaya,W.P. Labuan,2.3
W.P. Putrajaya,W.P. Putrajaya,2.8
