state,year,indicator,value,source,precision
Kedah,2022,total_receipts_rm_million,3469.8227,DTS 2023 state XLSX (Table 1) [agrees with DTS 2024 PDF],exact
Kedah,2023,total_receipts_rm_million,4206.6195,DTS 2023 state XLSX (Table 1) [agrees with DTS 2024 PDF],exact
Kedah,2024,total_receipts_rm_million,4961.0,DTS 2024 state PDF (Table 1),as printed
Kedah,2017,domestic_visitors_thousand,13304.5349,DTS 2023 state XLSX (Table 1),exact
Kedah,2018,domestic_visitors_thousand,14480.0184,DTS 2023 state XLSX (Table 1) [agrees with DTS 2024 PDF],exact
Kedah,2019,domestic_visitors_thousand,14831.1555,DTS 2023 state XLSX (Table 1) [agrees with DTS 2024 PDF],exact
Kedah,2020,domestic_visitors_thousand,10108.084,DTS 2023 state XLSX (Table 1) [agrees with DTS 2024 PDF],exact
Kedah,2021,domestic_visitors_thousand,4023.002,DTS 2023 state XLSX (Table 1) [agrees with DTS 2024 PDF],exact
Kedah,2022,domestic_visitors_thousand,11186.197,DTS 2023 state XLSX (Table 1) [agrees with DTS 2024 PDF],exact
Kedah,2023,domestic_visitors_thousand,13444.055,DTS 2023 state XLSX (Table 1) [agrees with DTS 2024 PDF],exact
Kedah,2024,domestic_visitors_thousand,14651.0,DTS 2024 state PDF (Table 1),as printed
Kedah,2017,domestic_trips_thousand,17169.5704,DTS 2023 state XLSX (Table 1),exact
Kedah,2018,domestic_trips_thousand,19648.2034,DTS 2023 state XLSX (Table 1) [agrees with DTS 2024 PDF],exact
Kedah,2019,domestic_trips_thousand,19500.3707,DTS 2023 state XLSX (Table 1) [agrees with DTS 2024 PDF],exact
Kedah,2020,domestic_trips_thousand,10362.011,DTS 2023 state XLSX (Table 1) [agrees with DTS 2024 PDF],exact
Kedah,2021,domestic_trips_thousand,4240.773,DTS 2023 state XLSX (Table 1) [agrees with DTS 2024 PDF],exact
Kedah,2022,domestic_trips_thousand,11894.479,DTS 2023 state XLSX (Table 1) [agrees with DTS 2024 PDF],exact
Kedah,2023,domestic_trips_thousand,13687.381,DTS 2023 state XLSX (Table 1) [agrees with DTS 2024 PDF],exact
Kedah,2024,domestic_trips_thousand,15984.0,DTS 2024 state PDF (Table 1),as printed
Kedah,2017,avg_receipts_per_capita_rm,336.0782,DTS 2023 state XLSX (Table 1),exact
Kedah,2018,avg_receipts_per_capita_rm,326.2745,DTS 2023 state XLSX (Table 1) [agrees with DTS 2024 PDF],exact
Kedah,2019,avg_receipts_per_capita_rm,351.1616,DTS 2023 state XLSX (Table 1) [agrees with DTS 2024 PDF],exact
Kedah,2020,avg_receipts_per_capita_rm,224.8391,DTS 2023 state XLSX (Table 1) [agrees with DTS 2024 PDF],exact
Kedah,2021,avg_receipts_per_capita_rm,209.3475,DTS 2023 state XLSX (Table 1) [agrees with DTS 2024 PDF],exact
Kedah,2022,avg_receipts_per_capita_rm,310.1879,DTS 2023 state XLSX (Table 1) [agrees with DTS 2024 PDF],exact
Kedah,2023,avg_receipts_per_capita_rm,312.8981,DTS 2023 state XLSX (Table 1) [agrees with DTS 2024 PDF],exact
Kedah,2024,avg_receipts_per_capita_rm,339.0,DTS 2024 state PDF (Table 1),as printed
Kedah,2017,avg_receipts_per_trip_rm,260.4238,DTS 2023 state XLSX (Table 1),exact
Kedah,2018,avg_receipts_per_trip_rm,240.4525,DTS 2023 state XLSX (Table 1) [agrees with DTS 2024 PDF],exact
Kedah,2019,avg_receipts_per_trip_rm,267.0786,DTS 2023 state XLSX (Table 1) [agrees with DTS 2024 PDF],exact
Kedah,2020,avg_receipts_per_trip_rm,219.3293,DTS 2023 state XLSX (Table 1) [agrees with DTS 2024 PDF],exact
Kedah,2021,avg_receipts_per_trip_rm,198.5971,DTS 2023 state XLSX (Table 1) [agrees with DTS 2024 PDF],exact
Kedah,2022,avg_receipts_per_trip_rm,291.7171,DTS 2023 state XLSX (Table 1) [agrees with DTS 2024 PDF],exact
Kedah,2023,avg_receipts_per_trip_rm,307.3356,DTS 2023 state XLSX (Table 1) [agrees with DTS 2024 PDF],exact
Kedah,2024,avg_receipts_per_trip_rm,310.0,DTS 2024 state PDF (Table 1),as printed
Kedah,2017,avg_length_of_stay_nights,2.1289,DTS 2023 state XLSX (Table 1),exact
Kedah,2018,avg_length_of_stay_nights,2.2856,DTS 2023 state XLSX (Table 1) [agrees with DTS 2024 PDF],exact
Kedah,2019,avg_length_of_stay_nights,2.3055,DTS 2023 state XLSX (Table 1) [agrees with DTS 2024 PDF],exact
Kedah,2020,avg_length_of_stay_nights,1.9701,DTS 2023 state XLSX (Table 1) [agrees with DTS 2024 PDF],exact
Kedah,2021,avg_length_of_stay_nights,1.9623,DTS 2023 state XLSX (Table 1) [agrees with DTS 2024 PDF],exact
Kedah,2022,avg_length_of_stay_nights,2.1121,DTS 2023 state XLSX (Table 1) [agrees with DTS 2024 PDF],exact
Kedah,2023,avg_length_of_stay_nights,2.0272,DTS 2023 state XLSX (Table 1) [agrees with DTS 2024 PDF],exact
Kedah,2024,avg_length_of_stay_nights,2.77,DTS 2024 state PDF (Table 1),as printed
Kedah,2025,domestic_visitors_thousand,15608.0,DTS 2025 Malaysia PDF (Table 9),as printed
Kelantan,2017,total_receipts_rm_million,3633.6642,DTS 2023 state XLSX (Table 1),exact
Kelantan,2018,total_receipts_rm_million,4001.3952,DTS 2023 state XLSX (Table 1) [agrees with DTS 2024 PDF],exact
Kelantan,2019,total_receipts_rm_million,4800.041,DTS 2023 state XLSX (Table 1) [agrees with DTS 2024 PDF],exact
Kelantan,2020,total_receipts_rm_million,1555.1226,DTS 2023 state XLSX (Table 1) [agrees with DTS 2024 PDF],exact
Kelantan,2021,total_receipts_rm_million,477.2221,DTS 2023 state XLSX (Table 1) [agrees with DTS 2024 PDF],exact
Kelantan,2022,total_receipts_rm_million,2586.2241,DTS 2023 state XLSX (Table 1) [agrees with DTS 2024 PDF],exact
Kelantan,2023,total_receipts_rm_million,3228.3851,DTS 2023 state XLSX (Table 1) [agrees with DTS 2024 PDF],exact
Kelantan,2024,total_receipts_rm_million,4541.0,DTS 2024 state PDF (Table 1),as printed
Kelantan,2017,domestic_visitors_thousand,9623.6638,DTS 2023 state XLSX (Table 1),exact
Kelantan,2018,domestic_visitors_thousand,9846.1234,DTS 2023 state XLSX (Table 1) [agrees with DTS 2024 PDF],exact
Kelantan,2019,domestic_visitors_thousand,10985.652,DTS 2023 state XLSX (Table 1) [agrees with DTS 2024 PDF],exact
Kelantan,2020,domestic_visitors_thousand,6058.183,DTS 2023 state XLSX (Table 1) [agrees with DTS 2024 PDF],exact
Kelantan,2021,domestic_visitors_thousand,1920.93,DTS 2023 state XLSX (Table 1) [agrees with DTS 2024 PDF],exact
Kelantan,2022,domestic_visitors_thousand,6627.155,DTS 2023 state XLSX (Table 1) [agrees with DTS 2024 PDF],exact
Kelantan,2023,domestic_visitors_thousand,7549.37,DTS 2023 state XLSX (Table 1) [agrees with DTS 2024 PDF],exact
Kelantan,2024,domestic_visitors_thousand,10514.0,DTS 2024 state PDF (Table 1),as printed
Kelantan,2017,domestic_trips_thousand,12901.0315,DTS 2023 state XLSX (Table 1),exact
Kelantan,2018,domestic_trips_thousand,14237.5239,DTS 2023 state XLSX (Table 1) [agrees with DTS 2024 PDF],exact
Kelantan,2019,domestic_trips_thousand,15911.2788,DTS 2023 state XLSX (Table 1) [agrees with DTS 2024 PDF],exact
Kelantan,2020,domestic_trips_thousand,6568.194,DTS 2023 state XLSX (Table 1) [agrees with DTS 2024 PDF],exact
Kelantan,2021,domestic_trips_thousand,1971.69,DTS 2023 state XLSX (Table 1) [agrees with DTS 2024 PDF],exact
Kelantan,2022,domestic_trips_thousand,8783.75,DTS 2023 state XLSX (Table 1) [agrees with DTS 2024 PDF],exact
Kelantan,2023,domestic_trips_thousand,9299.793,DTS 2023 state XLSX (Table 1) [agrees with DTS 2024 PDF],exact
Kelantan,2024,domestic_trips_thousand,12464.0,DTS 2024 state PDF (Table 1),as printed
Kelantan,2017,avg_receipts_per_capita_rm,377.576,DTS 2023 state XLSX (Table 1),exact
Kelantan,2018,avg_receipts_per_capita_rm,406.393,DTS 2023 state XLSX (Table 1) [agrees with DTS 2024 PDF],exact
Kelantan,2019,avg_receipts_per_capita_rm,436.9373,DTS 2023 state XLSX (Table 1) [agrees with DTS 2024 PDF],exact
