state,component,receipts_rm_thousand_2023,receipts_rm_thousand_2024,share_pct_2023,share_pct_2024
Pulau Pinang,accommodation,714831.0,961938.0,12.3,13.0
Pulau Pinang,pre_trip_package_entrance_tickets,242333.0,327800.0,4.2,4.4
Pulau Pinang,other_activities,249697.0,306181.0,4.3,4.1
Pulau Pinang,expenditure_by_visited_households,237869.0,322454.0,4.1,4.3
Pulau Pinang,total_receipts,5814735.0,7424291.0,100.0,100.0
Sabah,expenditure_by_visitors,6362023.0,7964388.0,94.8,92.2
Sabah,shopping,2461886.0,3176540.0,36.7,36.8
Sabah,automotive_fuel,798981.0,986736.0,11.9,11.4
Sabah,transportation,547792.0,729374.0,8.2,8.4
Sabah,food_and_beverage,1093929.0,1287622.0,16.3,14.9
Sabah,accommodation,1008654.0,1034404.0,15.0,12.0
Sabah,pre_trip_package_entrance_tickets,274259.0,458795.0,4.1,5.3
Sabah,other_activities,176522.0,290917.0,2.6,3.4
Sabah,expenditure_by_visited_households,350492.0,669858.0,5.2,7.8
Sabah,total_receipts,6712515.0,8634247.0,100.0,100.0
Sarawak,expenditure_by_visitors,6440169.0,7425166.0,92.8,93.3
Sarawak,shopping,2655605.0,3208490.0,38.3,40.3
Sarawak,automotive_fuel,989487.0,1033752.0,14.3,13.0
Sarawak,transportation,569398.0,700774.0,8.2,8.8
Sarawak,food_and_beverage,981635.0,1124258.0,14.1,14.1
Sarawak,accommodation,779551.0,823116.0,11.2,10.3
Sarawak,pre_trip_package_entrance_tickets,225768.0,243995.0,3.3,3.1
Sarawak,other_activities,238725.0,290781.0,3.4,3.7
Sarawak,expenditure_by_visited_households,502504.0,531505.0,7.2,6.7
Sarawak,total_receipts,6942673.0,7956671.0,100.0,100.0
Selangor,expenditure_by_visitors,10382143.0,13498762.0,93.5,94.9
Selangor,shopping,4144811.0,6091680.0,37.3,42.8
Selangor,automotive_fuel,1562916.0,1816491.0,14.1,12.8
Selangor,transportation,769174.0,911441.0,6.9,6.4
Selangor,food_and_beverage,1847020.0,2224198.0,16.6,15.6
Selangor,accommodation,1299080.0,1369214.0,11.7,9.6
Selangor,pre_trip_package_entrance_tickets,351236.0,508593.0,3.2,3.6
Selangor,other_activities,407906.0,577145.0,3.7,4.1
