state,year,indicator,value
Melaka,2018,total_receipts_rm_million,5564.0
Melaka,2019,total_receipts_rm_million,6370.0
Melaka,2020,total_receipts_rm_million,2373.0
Melaka,2021,total_receipts_rm_million,1004.0
Melaka,2022,total_receipts_rm_million,4843.0
Melaka,2023,total_receipts_rm_million,6438.0
Melaka,2024,total_receipts_rm_million,7933.0
Melaka,2018,domestic_visitors_thousand,13123.0
Melaka,2019,domestic_visitors_thousand,13979.0
Melaka,2020,domestic_visitors_thousand,7275.0
Melaka,2021,domestic_visitors_thousand,3878.0
Melaka,2022,domestic_visitors_thousand,11757.0
Melaka,2023,domestic_visitors_thousand,15559.0
Melaka,2024,domestic_visitors_thousand,19128.0
Melaka,2018,domestic_trips_thousand,21654.0
Melaka,2019,domestic_trips_thousand,24043.0
Melaka,2020,domestic_trips_thousand,9964.0
Melaka,2021,domestic_trips_thousand,4364.0
Melaka,2022,domestic_trips_thousand,16668.0
Melaka,2023,domestic_trips_thousand,20094.0
Melaka,2024,domestic_trips_thousand,24174.0
Melaka,2018,avg_receipts_per_capita_rm,424.0
Melaka,2019,avg_receipts_per_capita_rm,456.0
Melaka,2020,avg_receipts_per_capita_rm,326.0
Melaka,2021,avg_receipts_per_capita_rm,259.0
Melaka,2022,avg_receipts_per_capita_rm,412.0
Melaka,2023,avg_receipts_per_capita_rm,414.0
Melaka,2024,avg_receipts_per_capita_rm,415.0
Melaka,2018,avg_receipts_per_trip_rm,257.0
Melaka,2019,avg_receipts_per_trip_rm,265.0
Melaka,2020,avg_receipts_per_trip_rm,238.0
Melaka,2021,avg_receipts_per_trip_rm,230.0
Melaka,2022,avg_receipts_per_trip_rm,291.0
Melaka,2023,avg_receipts_per_trip_rm,320.0
Melaka,2024,avg_receipts_per_trip_rm,328.0
Melaka,2018,avg_length_of_stay_nights,2.23
Melaka,2019,avg_length_of_stay_nights,2.29
Melaka,2020,avg_length_of_stay_nights,1.8
Melaka,2021,avg_length_of_stay_nights,1.86
Melaka,2022,avg_length_of_stay_nights,2.14
Melaka,2023,avg_length_of_stay_nights,2.23
Melaka,2024,avg_length_of_stay_nights,2.13
Negeri Sembilan,2018,total_receipts_rm_million,4830.0
Negeri Sembilan,2019,total_receipts_rm_million,5071.0
Negeri Sembilan,2020,total_receipts_rm_million,2233.0
Negeri Sembilan,2021,total_receipts_rm_million,1213.0
Negeri Sembilan,2022,total_receipts_rm_million,3651.0
Negeri Sembilan,2023,total_receipts_rm_million,4777.0
Negeri Sembilan,2024,total_receipts_rm_million,5869.0
Negeri Sembilan,2018,domestic_visitors_thousand,12802.0
Negeri Sembilan,2019,domestic_visitors_thousand,13303.0
